Lämpötilan keskiarvo [°C],Alin lämpötila [°C],Ylin lämpötila [°C],Tunnin sademäärä [mm],Suhteellisen kosteuden keskiarvo [%],Ilmanpaineen keskiarvo [hPa],Keskituulen nopeus [m/s],Kovin keskituulen nopeus [m/s],Kovin puuska [m/s],Tuulen suunnan keskiarvo [°]
11.2,11.1,11.3,0.8,96,1011.3,3.9,4.6,6.9,111.0
11.4,11.3,11.6,0.6,97,1010.4,5.0,6.4,10.1,104.0
11.7,11.4,11.8,0.1,96,1009.5,7.9,9.3,14.3,110.0
11.2,11.0,11.7,0.2,96,1009.2,8.9,10.0,14.7,115.0
11.0,10.8,11.2,0.2,97,1008.8,9.1,10.6,16.0,124.0
11.0,10.8,11.1,0.0,98,1008.3,7.0,8.1,12.1,128.0
11.2,11.0,11.3,0.1,97,1008.0,6.3,7.1,11.1,130.0
11.1,11.0,11.3,1.0,98,1007.6,5.0,6.3,9.6,141.0
11.1,10.9,11.3,0.2,98,1007.5,5.0,6.1,8.3,149.0
11.2,11.1,11.3,0.3,100,1007.4,4.6,5.1,8.6,159.0
11.0,10.8,11.2,0.0,100,1007.3,4.1,4.5,7.9,153.0
11.1,11.0,11.2,0.0,100,1007.1,4.0,4.8,7.5,159.0
11.2,11.1,11.4,0.0,100,1007.0,3.8,4.2,7.2,170.0
11.5,11.3,11.7,0.0,100,1007.1,4.1,4.7,7.5,178.0
11.3,11.1,11.7,0.0,100,1007.2,4.5,5.2,8.4,190.0
11.0,10.5,11.4,0.0,100,1007.5,5.4,6.1,9.6,210.0
10.5,10.4,10.6,0.0,100,1007.9,4.5,5.7,9.1,218.0
10.4,10.3,10.5,0.0,98,1007.9,3.5,4.7,6.9,195.0
10.5,10.2,10.6,0.0,98,1008.3,4.9,6.0,9.3,191.0
10.6,10.3,10.7,0.0,98,1008.5,5.9,6.9,10.9,194.0
10.8,10.7,10.9,0.0,94,1009.0,6.0,7.1,10.3,196.0
11.0,10.9,11.0,0.0,93,1009.3,5.5,7.0,11.3,200.0
10.9,10.8,11.0,0.0,93,1010.0,5.8,6.8,11.1,201.0
11.8,10.8,13.0,0.0,86,1010.7,6.6,7.6,13.1,204.0
12.2,11.9,12.6,0.0,76,1011.3,8.0,10.0,15.7,223.0
12.8,12.4,13.3,0.0,66,1011.8,8.9,9.7,15.7,225.0
12.7,12.2,13.5,0.0,66,1012.5,8.7,10.3,14.4,219.0
12.8,12.4,13.5,0.0,65,1012.7,7.0,8.8,15.0,215.0
11.5,10.9,12.6,0.0,71,1012.9,6.6,7.6,11.9,223.0
11.4,11.0,11.6,0.0,74,1012.8,6.6,7.8,13.6,216.0
10.9,9.9,11.5,0.0,78,1012.7,6.6,8.4,14.1,219.0
9.8,9.7,10.0,0.0,82,1013.0,7.5,8.6,13.6,227.0
10.0,9.7,10.2,0.0,77,1013.1,7.4,9.2,13.8,227.0
9.2,8.7,9.8,0.0,78,1013.3,6.7,7.3,13.2,224.0
8.7,8.4,8.9,0.0,78,1013.6,7.0,7.9,12.3,235.0
8.2,8.1,8.5,0.0,82,1013.8,7.8,8.7,14.2,236.0
7.7,7.2,8.1,0.0,82,1013.8,7.0,7.8,12.8,238.0
7.5,7.3,7.6,0.0,84,1014.0,6.2,7.8,12.2,238.0
7.2,6.5,7.6,0.0,79,1014.9,6.6,7.6,10.4,266.0
6.1,5.8,6.5,0.0,82,1015.9,5.8,7.2,10.9,264.0
5.8,5.4,6.3,0.0,86,1016.4,4.7,5.4,8.2,250.0
6.4,6.1,7.0,0.0,84,1016.9,5.3,6.0,9.7,247.0
7.5,6.9,7.9,0.0,81,1017.6,5.5,6.2,9.5,256.0
8.4,7.9,8.9,0.0,72,1018.4,5.8,7.3,11.8,264.0
9.4,8.9,9.9,0.0,62,1018.9,7.3,8.7,12.9,263.0
10.2,9.9,10.9,0.0,53,1019.7,8.6,10.5,14.7,265.0
11.2,10.7,11.8,0.0,49,1020.3,8.3,9.4,14.5,269.0
12.1,11.5,13.2,0.0,48,1021.1,6.6,8.2,13.5,278.0
12.0,11.5,12.6,0.0,48,1021.9,6.5,8.1,12.9,275.0
12.8,12.0,13.8,0.0,47,1022.4,6.4,7.2,11.2,276.0
13.0,12.5,13.9,0.0,48,1023.1,6.7,7.8,13.2,274.0
12.6,12.2,13.0,0.0,49,1023.9,6.2,7.5,11.8,283.0
12.6,12.3,13.3,0.0,50,1024.6,5.7,7.2,11.9,281.0
13.1,12.2,14.6,0.0,48,1025.1,5.3,6.5,9.4,288.0
12.5,12.1,13.5,0.0,49,1025.6,4.2,5.2,8.1,292.0
12.4,12.1,12.7,0.0,49,1025.8,3.7,4.5,7.5,305.0
12.0,11.5,12.6,0.0,51,1026.1,2.9,4.0,5.1,325.0
11.0,9.9,11.6,0.0,54,1026.8,2.2,3.2,5.3,328.0
8.8,8.1,9.8,0.0,62,1027.4,2.3,2.7,3.4,320.0
7.6,7.3,8.1,0.0,70,1028.0,3.4,3.8,5.3,309.0
6.8,6.4,7.3,0.0,73,1028.7,3.2,3.6,4.7,296.0
5.6,5.2,6.4,0.0,80,1029.2,3.4,3.6,4.2,306.0
4.8,4.5,5.2,0.0,82,1029.6,3.5,3.7,4.9,311.0
4.3,4.1,4.6,0.0,82,1030.1,3.2,3.7,5.2,320.0
3.8,3.5,4.1,0.0,82,1030.7,2.9,3.0,5.2,331.0
4.3,3.5,5.5,0.0,78,1031.0,2.7,3.0,4.6,341.0
6.5,5.6,7.4,0.0,68,1031.3,1.7,2.3,3.4,351.0
8.6,7.4,9.7,0.0,57,1031.5,1.6,2.0,3.3,357.0
10.3,9.4,11.0,0.0,51,1031.8,0.9,1.8,3.3,312.0
11.7,10.9,12.2,0.0,46,1032.0,2.7,4.3,5.9,217.0
12.5,12.0,12.9,0.0,44,1032.2,3.8,4.4,6.5,226.0
13.1,12.7,13.6,0.0,43,1032.3,4.0,4.6,6.5,218.0
12.8,12.2,13.3,0.0,43,1032.1,5.1,5.9,8.3,224.0
13.5,12.9,14.4,0.0,45,1031.9,5.9,6.6,8.9,211.0
14.6,14.1,15.3,0.0,44,1031.5,5.7,6.3,9.6,209.0
14.9,14.3,15.4,0.0,45,1031.4,5.9,6.3,8.7,209.0
15.1,14.5,15.7,0.0,49,1031.3,4.6,6.2,8.0,209.0
15.3,14.8,16.0,0.0,48,1031.1,5.1,6.2,8.6,211.0
14.7,14.1,15.3,0.0,50,1031.1,4.7,6.1,8.0,209.0
13.3,12.6,14.3,0.0,56,1031.1,3.7,4.2,6.3,218.0
11.8,11.3,12.5,0.0,63,1031.2,3.0,3.6,5.2,222.0
10.9,10.3,11.4,0.0,68,1031.2,2.5,3.4,4.5,215.0
10.0,9.7,10.3,0.0,74,1031.4,2.2,3.2,4.4,228.0
9.6,9.3,9.8,0.0,77,1031.7,3.4,3.8,4.8,260.0
9.3,8.8,9.7,0.0,78,1032.2,3.6,4.2,5.5,276.0
8.1,7.8,8.7,0.0,82,1032.4,3.1,3.5,4.1,289.0
7.6,7.2,7.9,0.0,83,1032.7,3.5,3.7,4.4,300.0
6.9,6.4,7.3,0.0,86,1032.9,3.9,4.1,4.8,303.0
6.7,6.4,7.0,0.0,84,1033.2,3.9,4.2,5.5,317.0
7.4,7.0,8.2,0.0,74,1033.4,3.0,3.6,4.9,326.0
9.8,8.2,11.7,0.0,61,1033.6,2.1,2.7,3.9,343.0
12.7,11.6,13.6,0.0,47,1033.7,2.0,3.2,5.2,349.0
14.4,13.6,15.3,0.0,41,1033.8,2.1,3.3,4.6,337.0
15.6,15.0,16.6,0.0,38,1033.7,1.5,2.1,3.4,290.0
16.9,16.0,17.6,0.0,37,1033.7,1.8,2.7,4.7,219.0
17.6,17.1,18.0,0.0,38,1033.6,3.7,4.6,6.3,224.0
17.4,17.0,17.8,0.0,39,1033.6,4.6,5.2,6.6,219.0
17.8,17.1,18.4,0.0,36,1033.5,4.7,5.8,7.3,214.0
18.2,17.8,18.7,0.0,35,1033.0,5.5,5.9,8.2,210.0
18.1,17.7,18.4,0.0,35,1032.6,5.4,6.1,8.7,210.0
18.2,17.7,18.6,0.0,35,1032.1,5.4,6.6,8.5,215.0
17.8,17.4,18.3,0.0,36,1031.7,5.6,6.7,9.3,213.0
17.9,17.5,18.2,0.0,37,1031.2,4.1,4.8,6.5,211.0
16.6,15.7,17.7,0.0,40,1030.9,3.4,4.4,6.2,209.0
15.1,14.7,15.7,0.0,43,1030.8,3.4,3.9,5.6,217.0
14.1,13.6,14.6,0.0,42,1030.8,3.4,3.9,5.6,236.0
12.6,11.6,13.5,0.0,45,1030.8,2.8,3.3,4.2,252.0
11.1,10.8,11.6,0.0,52,1030.8,2.9,3.5,4.1,268.0
10.7,10.0,11.4,0.0,60,1030.7,3.4,3.6,4.1,288.0
9.7,9.0,10.0,0.0,64,1030.3,3.4,4.0,4.3,311.0
8.8,8.2,9.2,0.0,65,1030.2,2.5,3.2,3.9,345.0
7.9,7.6,8.3,0.0,68,1030.2,2.3,3.0,3.7,2.0
7.5,7.1,8.0,0.0,70,1030.6,1.2,2.3,3.3,352.0
7.9,7.4,9.2,0.0,69,1030.5,2.0,2.5,2.6,292.0
11.1,9.2,12.7,0.0,58,1030.4,1.4,2.3,2.5,287.0
13.2,12.1,14.5,0.0,56,1030.5,0.4,0.9,1.8,20.0
16.0,14.6,17.6,0.0,45,1030.2,0.6,0.9,1.5,237.0
18.0,17.3,18.9,0.0,33,1030.0,1.5,2.1,3.2,250.0
18.8,18.4,19.6,0.0,30,1029.8,2.5,2.9,4.7,216.0
19.6,19.0,20.2,0.0,29,1029.4,2.0,2.6,4.4,236.0
20.4,19.5,20.9,0.0,29,1028.9,2.9,3.9,5.7,191.0
20.3,19.8,20.9,0.0,29,1028.7,3.3,3.7,5.8,178.0
20.4,19.9,20.9,0.0,29,1028.3,3.2,3.9,6.2,198.0
20.4,19.7,21.1,0.0,28,1028.0,3.5,4.1,6.2,187.0
19.1,18.5,20.3,0.0,31,1027.6,3.1,3.9,5.6,194.0
19.0,18.6,19.5,0.0,32,1027.3,3.6,4.6,6.1,214.0
18.6,18.5,18.8,0.0,34,1026.9,3.3,3.7,5.1,221.0
18.3,17.8,19.2,0.0,36,1026.6,3.0,3.3,4.8,221.0
17.4,16.9,18.0,0.0,38,1026.5,2.4,3.0,4.5,235.0
16.0,14.9,16.9,0.0,43,1026.4,2.5,2.9,3.8,248.0
14.5,13.9,15.1,0.0,47,1026.4,2.6,3.1,3.9,251.0
13.6,13.3,14.1,0.0,48,1026.2,2.4,3.0,3.5,258.0
12.7,11.9,13.3,0.0,57,1026.2,1.9,2.5,3.1,244.0
12.5,11.7,13.2,0.0,57,1025.9,2.8,3.2,3.5,266.0
11.7,11.1,12.7,0.0,62,1025.6,2.9,3.5,3.7,295.0
11.1,10.5,11.5,0.0,65,1025.3,2.2,2.7,3.4,329.0
10.0,9.5,10.4,0.0,70,1025.2,2.5,4.1,5.4,355.0
10.2,9.5,10.9,0.0,70,1025.0,2.8,3.5,4.6,355.0
13.3,11.0,14.5,0.0,58,1024.8,2.4,3.1,4.5,10.0
14.7,13.9,15.8,0.0,52,1024.6,2.0,2.7,3.8,46.0
16.8,15.5,18.1,0.0,43,1024.3,2.5,3.0,4.3,80.0
18.7,17.8,19.6,0.0,38,1024.2,3.4,4.0,6.2,92.0
19.5,19.0,19.8,0.0,38,1024.0,4.2,5.2,9.3,107.0
20.0,19.4,20.6,0.0,36,1023.8,4.3,5.4,8.1,101.0
20.3,19.8,20.7,0.0,36,1023.4,4.1,5.0,7.1,110.0
19.9,19.5,20.2,0.0,36,1022.9,3.4,3.9,6.3,119.0
20.2,19.7,20.9,0.0,36,1022.5,3.8,4.3,6.1,123.0
20.1,19.4,21.2,0.0,36,1021.8,2.7,3.5,5.6,164.0
19.9,19.2,20.4,0.0,36,1021.1,3.1,3.8,5.5,178.0
18.7,16.1,19.6,0.0,40,1020.7,3.0,4.3,6.0,188.0
16.4,15.5,17.4,0.0,53,1020.4,3.4,4.2,6.7,308.0
15.3,14.9,15.9,0.0,65,1020.1,2.5,4.0,6.1,306.0
14.9,14.3,15.2,0.0,71,1019.4,1.8,3.0,4.2,303.0
14.1,13.1,14.6,0.0,77,1018.9,2.0,2.3,3.4,312.0
13.3,13.0,13.5,0.0,82,1018.6,1.5,2.9,3.3,300.0
14.0,13.1,14.5,0.0,76,1018.5,2.9,5.0,9.0,122.0
13.4,12.9,14.0,0.0,68,1018.8,2.5,4.8,6.5,145.0
12.7,12.1,13.1,0.0,76,1018.9,1.8,2.2,3.4,94.0
12.0,11.7,12.2,0.1,84,1017.7,4.2,5.7,8.0,173.0
11.7,10.8,12.4,0.3,89,1017.5,1.9,4.0,5.6,155.0
11.2,10.8,11.7,0.0,94,1017.3,2.7,3.5,5.1,159.0
11.6,11.3,12.4,0.0,90,1017.1,2.2,2.9,4.1,139.0
12.1,11.7,12.5,0.0,87,1016.9,1.9,2.2,2.9,126.0
12.6,12.3,13.1,0.0,83,1016.8,2.1,2.7,3.4,115.0
14.1,13.2,15.1,0.0,74,1016.9,2.3,2.8,3.8,135.0
15.6,14.9,16.3,0.0,67,1016.7,1.8,2.7,3.8,153.0
16.5,16.0,17.0,0.0,63,1016.7,2.5,3.3,4.8,139.0
17.3,16.7,17.9,0.0,61,1016.9,2.8,3.0,5.0,127.0
17.2,16.5,17.6,0.0,60,1017.0,3.4,4.2,5.9,102.0
17.9,17.3,18.2,0.0,58,1017.0,3.6,4.3,6.0,103.0
18.9,17.7,20.0,0.0,53,1016.9,3.7,4.7,6.3,137.0
20.0,19.5,21.2,0.0,46,1016.8,3.6,4.4,5.6,160.0
20.1,19.4,21.1,0.0,47,1016.8,3.4,3.9,5.5,116.0
19.4,18.3,20.5,0.0,52,1017.0,3.8,4.5,6.1,137.0
18.3,18.1,18.6,0.0,57,1017.0,4.0,4.6,6.4,138.0
17.8,17.4,18.2,0.0,56,1016.8,2.4,3.6,5.4,129.0
17.0,16.5,17.4,0.0,61,1016.9,2.6,3.7,5.2,130.0
15.6,14.6,16.5,0.0,70,1017.1,2.5,3.2,4.0,108.0
14.1,13.6,14.6,0.0,78,1017.4,1.8,2.5,3.3,104.0
13.2,12.2,13.9,0.0,83,1017.7,1.5,2.0,2.5,97.0
11.9,11.0,13.1,0.0,89,1018.0,1.5,2.0,2.3,83.0
10.9,10.5,11.9,0.0,95,1018.1,1.9,2.4,2.5,89.0
10.2,9.8,11.9,0.0,97,1017.9,1.7,2.4,2.4,97.0
9.8,9.4,10.0,0.0,99,1017.9,1.2,1.8,1.9,50.0
9.0,8.5,9.4,0.0,99,1017.9,2.6,3.7,3.9,15.0
9.3,8.6,11.2,0.0,100,1018.0,2.3,3.4,3.7,27.0
12.0,11.2,13.3,0.0,86,1018.1,1.2,2.1,2.7,43.0
15.5,13.6,16.6,0.0,68,1018.3,1.2,1.8,3.1,85.0
17.0,15.9,18.2,0.0,61,1018.5,1.1,1.5,2.3,101.0
18.9,18.1,19.5,0.0,55,1018.6,1.3,2.0,3.3,112.0
20.4,19.5,20.9,0.0,51,1018.9,1.9,2.5,3.9,139.0
21.1,20.4,21.8,0.0,48,1018.9,2.4,2.9,4.2,149.0
21.7,21.3,22.0,0.0,46,1018.7,3.0,3.3,5.1,172.0
21.9,21.4,22.3,0.0,41,1018.5,3.7,4.7,6.4,165.0
22.4,21.9,23.0,0.0,35,1018.3,4.3,5.1,7.5,167.0
23.1,22.8,23.6,0.0,33,1017.9,4.5,5.6,7.9,190.0
23.0,22.6,23.4,0.0,32,1017.4,4.7,5.9,7.6,196.0
22.9,22.6,23.3,0.0,32,1017.1,5.0,5.8,7.2,192.0
22.1,21.1,23.2,0.0,38,1016.7,3.9,4.3,7.0,196.0
20.4,19.6,21.2,0.0,40,1016.5,4.7,5.7,8.2,210.0
18.8,18.1,19.6,0.0,43,1016.3,4.2,5.1,7.5,223.0
17.1,16.3,18.0,0.0,51,1016.1,3.5,4.3,6.2,216.0
15.6,15.2,16.3,0.0,62,1016.0,3.5,4.3,5.3,227.0
15.0,14.7,15.3,0.0,67,1015.7,4.0,4.8,6.2,232.0
14.7,14.4,15.2,0.0,68,1015.3,4.1,5.0,6.5,234.0
14.5,14.2,15.1,0.0,68,1015.1,3.8,5.0,6.0,230.0
13.9,13.3,14.3,0.0,76,1015.0,4.1,4.7,6.2,232.0
13.1,12.9,13.3,0.0,82,1014.8,4.3,4.5,5.9,233.0
13.1,12.9,13.3,0.0,80,1014.3,4.4,4.8,6.9,230.0
13.8,13.3,14.0,0.0,77,1013.7,4.6,5.3,7.1,224.0
14.0,13.8,14.6,0.0,80,1013.2,4.2,5.0,7.4,214.0
14.6,14.5,14.7,0.0,78,1012.9,4.9,5.4,7.7,227.0
14.8,14.5,15.5,0.0,78,1012.7,3.6,4.7,6.3,239.0
15.5,15.4,15.7,0.0,75,1012.7,2.8,4.3,6.1,257.0
15.5,15.3,15.8,0.1,82,1012.6,2.2,3.9,6.1,173.0
14.1,13.5,15.3,0.0,87,1012.7,4.7,5.7,8.4,215.0
14.9,14.0,15.7,0.0,83,1013.1,4.1,5.2,7.8,231.0
17.4,15.8,18.5,0.0,71,1012.9,4.5,6.3,9.0,215.0
18.1,16.9,19.0,0.0,66,1012.6,6.1,6.9,11.3,216.0
18.0,17.4,18.7,0.0,69,1012.7,3.2,7.0,9.4,250.0
18.9,17.6,20.0,0.0,59,1012.7,4.9,6.8,11.1,304.0
18.9,18.6,19.2,0.0,45,1013.0,5.3,7.0,9.7,319.0
18.0,17.6,18.8,0.0,39,1013.4,5.6,6.7,11.9,310.0
16.6,15.5,17.6,0.0,30,1013.8,6.3,7.3,12.6,308.0
14.8,14.0,15.5,0.0,30,1014.4,5.8,6.8,11.2,308.0
13.2,12.3,14.0,0.0,36,1014.9,5.2,6.3,11.1,311.0
11.7,11.4,12.2,0.0,41,1015.3,4.2,4.7,8.4,309.0
10.5,10.0,11.4,0.0,45,1015.5,3.9,4.1,6.6,304.0
9.6,9.2,10.0,0.0,51,1015.8,3.9,4.3,6.7,302.0
8.5,7.8,9.3,0.0,56,1015.9,3.8,4.0,6.1,301.0
7.4,6.9,7.9,0.0,63,1016.0,4.0,4.2,5.9,300.0
7.4,7.0,7.9,0.0,65,1016.0,3.8,4.1,5.4,293.0
7.8,7.6,8.0,0.0,65,1015.9,3.4,4.0,5.4,301.0
7.9,7.7,8.2,0.0,66,1015.7,2.5,3.5,5.2,305.0
8.5,8.2,9.0,0.0,67,1015.5,2.7,3.8,5.4,295.0
10.1,9.1,11.5,0.0,63,1015.3,1.2,1.5,2.4,283.0
11.1,10.8,11.4,0.0,59,1015.2,1.2,1.9,2.9,272.0
11.6,10.9,12.2,0.0,59,1015.0,2.2,3.8,6.0,169.0
10.9,10.0,12.3,0.0,57,1014.9,3.8,5.5,12.5,178.0
12.6,12.2,13.5,0.0,46,1014.3,5.5,6.7,9.2,149.0
13.3,12.2,14.4,0.0,48,1013.6,5.7,7.3,11.5,155.0
14.1,13.6,15.1,0.0,56,1013.1,5.3,7.4,10.3,173.0
10.0,8.5,13.4,2.6,85,1013.6,4.7,7.1,13.0,263.0
10.9,10.1,12.2,0.0,76,1014.0,0.8,2.0,2.6,173.0
12.4,11.6,12.9,0.0,74,1014.7,5.1,6.0,10.5,311.0
12.2,11.9,12.8,0.0,66,1015.7,5.4,7.0,10.8,327.0
12.2,11.7,12.7,0.0,60,1016.6,6.0,6.8,10.8,318.0
11.4,10.3,12.1,0.0,59,1017.4,5.9,8.0,12.7,320.0
9.7,9.3,10.2,0.0,67,1018.2,4.5,8.1,10.0,313.0
8.8,8.3,9.3,0.0,75,1018.8,3.5,4.5,8.2,316.0
7.5,7.0,8.3,0.0,83,1019.4,2.9,4.2,6.6,294.0
7.5,7.0,7.9,0.0,69,1020.0,4.5,4.8,7.6,298.0
6.6,6.2,7.3,0.0,68,1020.6,4.2,4.5,6.6,295.0
6.2,5.9,6.5,0.0,68,1021.0,4.5,4.9,7.9,299.0
5.9,5.7,6.1,0.0,70,1021.5,4.4,4.9,7.8,293.0
4.9,4.7,5.6,0.0,77,1021.8,3.8,4.1,5.7,278.0
4.8,4.7,5.0,0.0,76,1022.0,4.3,4.5,6.3,274.0
5.0,4.7,5.8,0.0,77,1022.0,3.9,4.4,6.7,281.0
6.8,5.8,7.7,0.0,72,1022.2,3.9,4.1,7.3,297.0
8.7,7.8,9.6,0.0,65,1022.6,3.5,3.9,6.9,314.0
10.4,9.5,11.6,0.0,55,1022.9,4.0,5.7,7.8,308.0
11.5,11.1,11.9,0.0,47,1023.3,5.7,7.3,10.8,297.0
12.2,11.6,12.8,0.0,41,1023.8,5.7,7.2,11.0,299.0
13.0,12.3,14.0,0.0,37,1023.9,4.6,5.6,9.1,306.0
13.4,12.4,14.3,0.0,37,1023.9,4.0,4.9,9.1,302.0
14.1,12.8,15.2,0.0,33,1023.9,4.3,6.4,9.8,310.0
14.4,13.5,15.8,0.0,31,1023.9,3.5,4.8,8.7,314.0
15.8,14.8,16.3,0.0,29,1023.7,4.7,6.0,9.7,288.0
16.1,15.5,16.6,0.0,26,1023.5,3.9,5.2,8.9,311.0
15.4,14.5,16.1,0.0,29,1023.4,3.8,5.3,8.9,302.0
14.9,14.4,15.4,0.0,33,1023.2,2.4,3.3,5.0,268.0
14.9,14.3,15.6,0.0,37,1022.9,3.5,4.5,6.8,242.0
13.0,11.9,14.3,0.0,47,1022.8,3.6,4.1,6.2,247.0
11.6,11.4,11.9,0.0,63,1022.8,4.1,4.6,5.9,232.0
10.7,10.1,11.5,0.0,67,1022.9,3.9,4.3,5.8,233.0
9.9,9.5,10.2,0.0,65,1023.0,4.3,4.7,6.6,242.0
9.1,8.6,9.6,0.0,60,1022.9,4.3,4.8,7.0,250.0
8.3,7.9,8.7,0.0,55,1022.6,3.8,4.4,6.4,240.0
7.7,7.4,8.1,0.0,61,1022.1,3.5,3.8,5.5,208.0
7.9,7.7,8.2,0.0,78,1021.6,3.3,4.2,6.9,186.0
8.4,8.0,9.0,0.0,71,1021.2,4.1,4.6,7.1,187.0
9.5,8.8,9.7,0.0,67,1020.7,4.7,5.6,9.3,185.0
9.9,9.7,10.3,0.0,66,1020.1,6.2,6.8,12.8,193.0
10.8,10.2,11.3,0.0,64,1019.8,6.9,7.6,13.4,193.0
11.8,11.3,12.4,0.0,58,1019.5,7.2,8.4,13.7,192.0
12.8,12.1,13.5,0.0,54,1019.0,7.9,9.1,14.5,187.0
14.1,13.1,14.9,0.0,51,1018.4,7.3,9.0,15.3,192.0
15.3,14.6,15.8,0.0,49,1017.8,6.8,8.8,13.9,203.0
15.8,15.3,16.5,0.0,49,1017.2,8.1,9.8,14.1,215.0
16.3,15.5,17.1,0.0,49,1016.8,8.0,9.8,15.1,223.0
15.5,14.7,16.9,0.0,50,1016.3,8.2,9.6,14.0,224.0
15.2,14.6,16.2,0.0,53,1015.9,7.2,8.9,14.0,225.0
16.3,15.8,16.8,0.0,51,1015.4,8.3,9.6,13.5,228.0
15.7,14.8,16.5,0.0,52,1015.3,7.5,8.3,13.6,236.0
14.4,13.6,15.3,0.0,55,1015.1,6.2,7.8,12.9,239.0
13.2,12.8,13.7,0.0,64,1015.0,5.6,6.2,10.0,230.0
12.4,11.8,12.8,0.0,74,1014.8,4.6,5.3,8.1,230.0
11.6,11.1,11.9,0.0,80,1014.8,3.9,4.5,6.5,242.0
10.5,9.8,11.1,0.0,87,1014.7,4.0,4.5,6.4,236.0
9.8,9.7,9.9,0.0,93,1014.7,3.6,4.5,7.1,240.0
9.9,9.8,10.0,0.0,93,1014.7,3.4,3.9,6.2,260.0
9.4,9.0,9.7,0.0,95,1014.7,3.2,3.9,5.8,259.0
9.4,9.2,9.6,0.0,96,1014.9,3.3,3.7,5.6,276.0
8.7,8.2,9.2,0.0,97,1015.1,3.3,3.6,6.9,308.0
7.8,7.7,8.2,0.0,97,1015.5,3.2,3.5,5.5,315.0
8.3,7.8,8.8,0.0,88,1015.8,2.9,3.2,5.6,318.0
9.0,8.5,9.6,0.0,78,1016.3,2.8,3.5,5.4,320.0
10.3,9.5,10.9,0.0,66,1016.5,3.0,3.9,5.7,323.0
11.3,10.9,12.2,0.0,59,1016.7,2.4,3.2,5.0,310.0
12.7,11.3,13.9,0.0,52,1016.7,3.3,5.0,7.8,277.0
14.4,13.7,15.3,0.0,40,1016.7,5.3,6.6,10.7,274.0
14.5,13.5,15.3,0.0,38,1016.7,6.4,7.9,11.9,276.0
13.6,13.2,14.2,0.0,40,1016.7,6.5,8.0,11.5,284.0
14.7,13.4,16.1,0.0,36,1016.7,5.3,7.0,11.4,292.0
15.8,15.1,16.4,0.0,30,1016.6,5.5,6.3,10.3,283.0
16.3,15.4,17.1,0.0,29,1016.5,5.0,6.2,9.3,282.0
